Source,CH1,CH2
Second,Volt,Volt
-0.79579997063,0.00,0.24800
-0.79575997591,0.00,0.24800
-0.79571998119,-0.08000,0.24800
-0.79567998648,-0.08000,0.25600
-0.79563999176,0.00,0.25600
-0.79559999704,-0.08000,0.25600
-0.79556000233,-0.08000,0.24800
-0.79552000761,-0.08000,0.25600
-0.79547995329,-0.16000,0.27200
-0.79543995857,-0.08000,0.25600
-0.79539996386,0.00,0.24000
-0.79535996914,-0.08000,0.24000
-0.79531997442,-0.08000,0.24800
-0.79527997971,-0.08000,0.24000
-0.79523998499,-0.08000,0.24000
-0.79519999027,-0.08000,0.24800
-0.79515999556,-0.16000,0.24000
-0.79512000084,-0.08000,0.24000
-0.79508000612,-0.08000,0.24000
-0.79503995180,-0.08000,0.24000
-0.79499995708,-0.08000,0.24000
-0.79495996237,-0.08000,0.24000
-0.79491996765,-0.08000,0.24000
-0.79487997293,-0.08000,0.24000
-0.79483997822,0.00,0.23200
-0.79479998350,-0.16000,0.24000
-0.79475998878,-0.16000,0.24000
-0.79471999407,-0.16000,0.24000
-0.79467999935,-0.08000,0.24000
-0.79464000463,-0.08000,0.24000
-0.79459995031,-0.16000,0.23200
-0.79455995560,-0.08000,0.24000
-0.79451996088,-0.08000,0.24000
-0.79447996616,-0.08000,0.23200
-0.79443997145,-0.08000,0.23200
-0.79439997673,-0.08000,0.23200
-0.79435998201,-0.08000,0.24000
-0.79431998730,-0.08000,0.23200
-0.79427999258,-0.16000,0.23200
-0.79423999786,-0.16000,0.23200
-0.79420000315,-0.16000,0.23200
-0.79416000843,-0.16000,0.23200
-0.79411995411,-0.16000,0.23200
-0.79407995939,-0.08000,0.22400
-0.79403996468,-0.16000,0.23200
-0.79399996996,-0.16000,0.23200
-0.79395997524,-0.16000,0.23200
-0.79391998053,-0.16000,0.23200
-0.79387998581,-0.16000,0.23200
-0.79383999109,-0.16000,0.22400
-0.79379999638,-0.08000,0.23200
-0.79376000166,-0.16000,0.23200
-0.79372000694,-0.16000,0.23200
-0.79367995262,-0.16000,0.23200
-0.79363995790,-0.16000,0.22400
-0.79359996319,-0.16000,0.23200
-0.79355996847,-0.16000,0.22400
-0.79351997375,-0.16000,0.23200
-0.79347997904,-0.16000,0.22400
-0.79343998432,-0.16000,0.22400
-0.79339998960,-0.16000,0.21600
-0.79335999489,-0.16000,0.22400
-0.79332000017,-0.16000,0.22400
-0.79328000546,-0.16000,0.22400
-0.79323995113,-0.16000,0.20800
-0.79319995642,-0.16000,0.21600
-0.79315996170,-0.16000,0.21600
-0.79311996698,-0.16000,0.20800
-0.79307997227,-0.16000,0.20800
-0.79303997755,-0.16000,0.20800
-0.79299998283,-0.16000,0.20800
-0.79295998812,-0.16000,0.20800
-0.79291999340,-0.16000,0.20800
-0.79287999868,-0.16000,0.20800
-0.79284000397,-0.16000,0.20800
-0.79280000925,-0.16000,0.20800
-0.79275995493,-0.08000,0.21600
-0.79271996021,-0.16000,0.20800
-0.79267996550,-0.08000,0.20800
-0.79263997078,-0.08000,0.20800
-0.79259997606,-0.16000,0.20800
-0.79255998135,-0.16000,0.20800
-0.79251998663,-0.16000,0.20800
-0.79247999191,-0.08000,0.19200
-0.79243999720,-0.16000,0.19200
-0.79240000248,-0.16000,0.19200
-0.79236000776,-0.16000,0.20800
-0.79231995344,-0.16000,0.19200
-0.79227995872,-0.16000,0.19200
-0.79223996401,-0.16000,0.20800
-0.79219996929,-0.16000,0.20800
-0.79215997458,-0.16000,0.19200
-0.79211997986,-0.16000,0.19200
-0.79207998514,-0.16000,0.18400
-0.79203999043,-0.16000,0.19200
-0.79199999571,-0.16000,0.18400
-0.79196000099,-0.16000,0.19200
-0.79192000628,-0.16000,0.23200
-0.79187995195,-0.16000,0.18400
-0.79183995724,-0.16000,0.19200
-0.79179996252,-0.16000,0.18400
-0.79175996780,-0.16000,0.18400
-0.79171997309,-0.16000,0.19200
-0.79167997837,-0.16000,0.18400
-0.79163998365,-0.16000,0.18400
-0.79159998894,-0.16000,0.19200
-0.79155999422,-0.16000,0.16800
-0.79151999950,-0.08000,0.17600
-0.79148000479,-0.08000,0.19200
-0.79143995047,-0.16000,0.16800
-0.79139995575,-0.16000,0.17600
-0.79135996103,-0.16000,0.16800
-0.79131996632,-0.16000,0.16800
-0.79127997160,-0.16000,0.16800
-0.79123997688,-0.16000,0.16800
-0.79119998217,-0.16000,0.16800
-0.79115998745,-0.16000,0.16800
-0.79111999273,-0.16000,0.16800
-0.79107999802,-0.16000,0.16800
-0.79104000330,-0.16000,0.16800
-0.79100000858,-0.16000,0.16800
-0.79095995426,-0.16000,0.16000
-0.79091995955,-0.16000,0.16000
-0.79087996483,-0.16000,0.16000
-0.79083997011,-0.08000,0.16000
-0.79079997540,-0.16000,0.16000
-0.79075998068,-0.16000,0.16000
-0.79071998596,-0.16000,0.19200
-0.79067999125,-0.16000,0.16000
-0.79063999653,-0.16000,0.16000
-0.79060000181,-0.16000,0.16000
-0.79056000710,-0.16000,0.16000
-0.79051995277,-0.16000,0.15200
-0.79047995806,-0.08000,0.15200
-0.79043996334,-0.16000,0.16800
-0.79039996862,-0.16000,0.16000
-0.79035997391,-0.16000,0.15200
-0.79031997919,-0.08000,0.15200
-0.79027998447,-0.16000,0.15200
-0.79023998976,-0.08000,0.15200
-0.79019999504,-0.16000,0.15200
-0.79016000032,-0.16000,0.15200
-0.79012000561,-0.16000,0.15200
-0.79007995129,-0.08000,0.15200
-0.79003995657,-0.08000,0.13600
-0.78999996185,-0.16000,0.16800
-0.78995996714,-0.16000,0.14400
-0.78991997242,-0.08000,0.14400
-0.78987997770,-0.16000,0.13600
-0.78983998299,0.00,0.18400
-0.78979998827,-0.16000,0.13600
-0.78975999355,-0.16000,0.13600
-0.78971999884,-0.16000,0.13600
-0.78968000412,-0.08000,0.13600
-0.78964000940,-0.08000,0.13600
-0.78959995508,-0.08000,0.13600
-0.78955996037,-0.08000,0.12800
-0.78951996565,-0.08000,0.12800
-0.78947997093,-0.08000,0.12800
-0.78943997622,-0.08000,0.12800
-0.78939998150,-0.08000,0.12800
-0.78935998678,-0.08000,0.12800
-0.78931999207,0.00,0.12800
-0.78927999735,-0.08000,0.12800
-0.78924000263,-0.08000,0.12800
-0.78920000792,-0.08000,0.12800
-0.78915995359,-0.08000,0.12800
-0.78911995888,-0.08000,0.12000
-0.78907996416,-0.08000,0.12000
-0.78903996944,-0.08000,0.12800
-0.78899997473,-0.08000,0.12000
-0.78895998001,-0.08000,0.12000
-0.78891998529,-0.08000,0.12000
-0.78887999058,-0.08000,0.12000
-0.78883999586,-0.08000,0.11200
-0.78880000114,-0.08000,0.10400
-0.78876000643,0.00,0.11200
-0.78871995211,-0.08000,0.10400
-0.78867995739,0.00,0.11200
-0.78863996267,-0.08000,0.10400
-0.78859996796,0.00,0.10400
-0.78855997324,0.00,0.10400
-0.78851997852,-0.08000,0.10400
-0.78847998381,0.00,0.10400
-0.78843998909,-0.08000,0.09600
-0.78839999437,0.00,0.10400
-0.78835999966,0.00,0.09600
-0.78832000494,0.00,0.09600
-0.78827995062,0.00,0.09600
-0.78823995590,0.00,0.10400
-0.78819996119,0.00,0.09600
-0.78815996647,0.00,0.09600
-0.78811997175,0.00,0.10400
-0.78807997704,-0.08000,0.09600
-0.78803998232,0.00,0.09600
-0.78799998760,0.00,0.08800
-0.78795999289,0.00,0.09600
-0.78791999817,0.00,0.08800
-0.78788000345,0.00,0.07200
